Name,Ticker Data,Ticker
Aberdeen International Inc-,AAB,AAB.TO
Acadian Timber Corp-,ADN,ADN.TO
Accord Financial Corp-,ACD,ACD.TO
Aclara Resources Inc-,ARA,ARA.TO
Adcore Inc-,ADCO,ADCO.TO
ADENTRA Inc-,ADEN,ADEN.TO
ADF Group Inc-,DRX,DRX.TO
Advantage Energy Ltd-,AAV,AAV.TO
Aecon Group Inc-,ARE,ARE.TO
Aegis Brands Inc-,AEG,AEG.TO
AEterna Zentaris Inc-,AEZS,AEZS.TO
Africa Oil Corp-,AOI,AOI.TO
Ag Growth International Inc-,AFN,AFN.TO
AGF Management Limited,AGF-B,AGF-B.TO
Agnico Eagle Mines Limited,AEM,AEM.TO
Agrinam Acquisition Corporation,AGRI-U,AGRI-U.TO
Aimia Inc-,AIM,AIM.TO
Air Canada,AC,AC.TO
AirBoss of America Corp-,BOS,BOS.TO
Akita Drilling Ltd-,AKT-A,AKT-A.TO
Akumin Inc-,AKU,AKU.TO
Alamos Gold Inc-,AGI,AGI.TO
Algoma Central Corporation,ALC,ALC.TO
Algoma Steel Group Inc-,ASTL,ASTL.TO
Algonquin Power & Utilities Corp-,AQN,AQN.TO
Alimentation Couche-Tard Inc-,ATD,ATD.TO
Alithya Group inc-,ALYA,ALYA.TO
Allied Gold Corporation,AAUC,AAUC.TO
Almaden Minerals Ltd-,AMM,AMM.TO
Almonty Industries Inc-,AII,AII.TO
Alta Copper Corp-,ATCU,ATCU.TO
AltaGas Ltd-,ALA,ALA.TO
Altius Minerals Corporation,ALS,ALS.TO
Altius Renewable Royalties Corp-,ARR,ARR.TO
Altus Group Limited,AIF,AIF.TO
American Hotel Income Properties REIT LP,HOT-DB-V,HOT-UN.TO
Americas Gold and Silver Corporation,USA,USA.TO
Amerigo Resources Ltd-,ARG,ARG.TO
Anaergia Inc-,ANRG,ANRG.TO
Andlauer Healthcare Group Inc-,AND,AND.TO
Andrew Peller Limited/Andrew Peller Limitee,ADW-A,ADW-A.TO
Antibe Therapeutics Inc-,ATE,ATE.TO
Appili Therapeutics Inc-,APLI,APLI.TO
Aptose Biosciences Inc-,APS,APS.TO
ARC Resources Ltd-,ARX,ARX.TO
Argonaut Gold Inc-,AR,AR.TO
Aris Mining Corporation,ARIS,ARIS.TO
Aritzia Inc-,ATZ,ATZ.TO
Arizona Metals Corp-,AMC,AMC.TO
Arizona Sonoran Copper Company Inc-,ASCU,ASCU.TO
Arrow Long/Short Alternative Class,ACAA,ACAA.TO
Ascendant Resources Inc-,ASND,ASND.TO
Ascot Resources Ltd-,AOT,AOT.TO
ATCO Ltd-,ACO-X,ACO-X.TO
Athabasca Oil Corporation,ATH,ATH.TO
Atrium Mortgage Investment Corporation,AI,AI.TO
ATS Corporation,ATS,ATS.TO
Augusta Gold Corp-,G,G.TO
Aura Minerals Inc-,ORA,ORA.TO
Aurora Cannabis Inc-,ACB,ACB.TO
AutoCanada Inc-,ACQ,ACQ.TO
Auxly Cannabis Group Inc-,XLY,XLY.TO
Avalon Advanced Materials Inc-,AVL,AVL.TO
Avant Brands Inc-,AVNT,AVNT.TO
Avicanna Inc-,AVCN,AVCN.TO
Avino Silver & Gold Mines Ltd-,ASM,ASM.TO
Axis Auto Finance Inc-,AXIS,AXIS.TO
Aya Gold & Silver Inc-,AYA,AYA.TO
Barrick Gold Corporation,ABX,ABX.TO
Golden Minerals Company,AUMN,AUMN.TO
HealWELL AI Inc-,AIDX,AIDX.TO
SNC-Lavalin Group Inc-,ATRL,ATRL.TO
AirBoss of America Corp-,BOS,BOS.TO
B2Gold Corp-,BTO,BTO.TO
Badger Infrastructure Solutions Ltd-,BDGI,BDGI.TO
Ballard Power Systems Inc-,BLDP,BLDP.TO
Bank of Montreal,BMO,BMO.TO
Bank of Nova Scotia (The),BNS,BNS.TO
Barrick Gold Corporation,ABX,ABX.TO
Bausch + Lomb Corporation,BLCO,BLCO.TO
Bausch Health Companies Inc-,BHC,BHC.TO
Baylin Technologies Inc-,BYL,BYL.TO
Baytex Energy Corp-,BTE,BTE.TO
BCE Inc-,BCE,BCE.TO
Becker Milk Company Ltd- (The),BEK-B,BEK-B.TO
Belo Sun Mining Corp-,BSX,BSX.TO
Bengal Energy Ltd-,BNG,BNG.TO
Big Banc Split Corp-,BNK,BNK.TO
Big Pharma Split Corp-,PRM,PRM.TO
Big Rock Brewery Inc-,BR,BR.TO
BIP Investment Corporation,BIK-PR-A,BIK-PA.TO
Birchcliff Energy Ltd-,BIR,BIR.TO
Bird Construction Inc-,BDT,BDT.TO
Bitfarms Ltd-,BITF,BITF.TO
Black Diamond Group Limited,BDI,BDI.TO
Black Iron Inc-,BKI,BKI.TO
BlackBerry Limited,BB,BB.TO
Blackline Safety Corp-,BLN,BLN.TO
BMTC Group Inc-,GBT,GBT.TO
Boat Rocker Media Inc-,BRMI,BRMI.TO
Bombardier Inc-,BBD-A,BBD-B.TO
Bonterra Energy Corp-,BNE,BNE.TO
Boralex Inc-,BLX,BLX.TO
Boyd Group Services Inc-,BYD,BYD.TO
Bragg Gaming Group Inc-,BRAG,BRAG.TO
Bri-Chem Corp-,BRY,BRY.TO
BriaCell Therapeutics Corp-,BCT,BCT.TO
Bridgemarq Real Estate Services Inc-,BRE,BRE.TO
Brompton Energy Split Corp-,ESP,ESP.TO
Brompton Lifeco Split Corp-,LCS,LCS.TO
Brompton Split Banc Corp-,SBC,SBC.TO
Brookfield Asset Management Ltd-,BAM,BAM.TO
Brookfield Business Corporation,BBUC,BBUC.TO
Brookfield Business Partners L-P-,BBU-UN,BBU-UN.TO
Brookfield Corporation,BN,BN.TO
Brookfield Infrastructure Corporation,BIPC,BIPC.TO
Brookfield Infrastructure Partners L-P-,BIP-PR-A,BIP-UN.TO
Brookfield Office Properties Inc-,BPO-PR-A,BPO-PX.TO
Brookfield Property Preferred L-P-,BPYP-PR-A,BPYP-PA.TO
Brookfield Renewable Corporation,BEPC,BEPC.TO
Brookfield Renewable Partners L-P-,BEP-PR-G,BEP-UN.TO
Brookfield Renewable Power Preferred Equity Inc-,BRF-PR-A,BRF-PC.TO
BRP Inc-,DOO,DOO.TO
Buhler Industries Inc-,BUI,BUI.TO
Burcon Nutrascience Corporation,BU,BU.TO
Canadian Banc Corp-,BK,BK.TO
Else Nutrition Holdings Inc-,BABY,BABY.TO
CAE Inc-,CAE,CAE.TO
Caldwell Partners International Inc- (The),CWL,CWL.TO
Calfrac Well Services Ltd-,CFW,CFW.TO
Calian Group Ltd-,CGY,CGY.TO
Calibre Mining Corp-,CXB,CXB.TO
Cameco Corporation,CCO,CCO.TO
Canaccord Genuity Group Inc-,CF,CF.TO
Canacol Energy Ltd-,CNE,CNE.TO
Canada Goose Holdings Inc-,GOOS,GOOS.TO
Canadian Banc Corp-,BK,BK.TO
"Canadian General Investments, Limited",CGI,CGI.TO
Canadian Imperial Bank Of Commerce,CM,CM.TO
Canadian Life Companies Split Corp-,LFE,LFE.TO
Canadian National Railway Company,CNR,CNR.TO
Canadian Natural Resources Limited,CNQ,CNQ.TO
Canadian Pacific Kansas City Limited,CP,CP.TO
"Canadian Tire Corporation, Limited",CTC,CTC-A.TO
Canadian Utilities Limited,CU,CU.TO
Canadian Western Bank,CWB,CWB.TO
Canagold Resources Ltd-,CCM,CCM.TO
Canfor Corporation,CFP,CFP.TO
Canfor Pulp Products Inc-,CFX,CFX.TO
Canlan Ice Sports Corp-,ICE,ICE.TO
Canopy Growth Corporation,WEED,WEED.TO
Capital Power Corporation,CPX,CPX.TO
Capstone Copper Corp-,CS,CS.TO
Capstone Infrastructure Corporation,CSE-PR-A,CSE-PA.TO
Cardinal Energy Ltd-,CJ,CJ.TO
Cardiol Therapeutics Inc-,CRDL,CRDL.TO
CareRx Corporation,CRRX,CRRX.TO
Cargojet Inc-,CJT,CJT.TO
"Caribbean Utilities Company, Ltd-",CUP-U,CUP-U.TO
Cascades Inc-,CAS,CAS.TO
Cathedral Energy Services Ltd-,CET,CET.TO
CCL Industries Inc-,CCL-A,CCL-B.TO
Celestica Inc-,CLS,CLS.TO
Cenovus Energy Inc-,CVE,CVE.TO
Centamin plc,CEE,CEE.TO
Centerra Gold Inc-,CG,CG.TO
Century Global Commodities Corporation,CNT,CNT.TO
Ceres Global Ag Corp-,CRP,CRP.TO
Ceridian HCM Holding Inc-,CDAY,CDAY.TO
CES Energy Solutions Corp-,CEU,CEU.TO
CGI Inc-,GIB-A,GIB-A.TO
Champion Iron Limited,CIA,CIA.TO
"Charlotte's Web Holdings, Inc-",CWEB,CWEB.TO
Chartwell Retirement Residences,CSH-UN,CSH-UN.TO
Chesswood Group Limited,CHW,CHW.TO
China Gold International Resources Corp- Ltd-,CGG,CGG.TO
Chorus Aviation Inc-,CHR,CHR.TO
CI Financial Corp-,CIX,CIX.TO
CI Global Asset Allocation Private Pool,CGAA,CGAA.TO
CI Global High Yield Credit Private Pool,CGHY,CGHY.TO
CI Global Infrastructure Private Pool,CINF,CINF.TO
CI Global Real Asset Private Pool,CGRA,CGRA.TO
CI Global REIT Private Pool,CGRE,CGRE.TO
CIBC Conservative Fixed Income Pool,CCNS,0P0001IMXJ.TO
CIBC Core Fixed Income Pool,CCRE,CCRE.TO
CIBC Core Plus Fixed Income Pool,CPLS,0P0001IMXR.TO
Cineplex Inc-,CGX,CGX.TO
Cipher Pharmaceuticals Inc-,CPH,CPH.TO
Clairvest Group Inc-,CVG,CVG.TO
Clarke Inc-,CKI,CKI.TO
Co-operators General Insurance Company,CCS-PR-C,CCS-PC.TO
Cogeco Communications Inc-,CCA,CCA.TO
Cogeco Inc-,CGO,CCA.TO
Colabor Group Inc-,GCL,GCL.TO
Collective Mining Ltd-,CNL,CNL.TO
Colliers International Group Inc-,CIGI,CIGI.TO
Commerce Split Corp-,YCM,YCM-PA.TO
Computer Modelling Group Ltd-,CMG,CMG.TO
Condor Energies Inc-,CDR,CDR.TO
Condor Gold plc,COG,COG.TO
Conifex Timber Inc-,CFF,CFF.TO
Constellation Software Inc-,CSU,CSU.TO
Converge Technology Solutions Corp-,CTS,CTS.TO
Copperleaf Technologies Inc-,CPLF,CPLF.TO
Corby Spirit and Wine Limited,CSW-A,CSW-A.TO
Corus Entertainment Inc-,CJR-B,CJR-B.TO
Coveo Solutions Inc-,CVO,CVO.TO
Crescent Point Energy Corp-,CPG,CPG.TO
Crescita Therapeutics Inc-,CTX,CTX.TO
Crew Energy Inc-,CR,CR.TO
Cronos Group Inc-,CRON,CRON.TO
Crown Capital Partners Inc-,CRWN,CRWN.TO
CU Inc-,CIU-PR-A,CIU-PC.TO
"Currency Exchange International, Corp-",CXI,CXI.TO
Cymbria Corporation,CYB,CYB.TO
ADF Group Inc-,DRX,DRX.TO
BRP Inc-,DOO,DOO.TO
D-Box Technologies Inc-,DBO,DBO.TO
D2L Inc-,DTOL,DTOL.TO
Data Communications Management Corp-,DCM,DCM.TO
Definity Financial Corporation,DFY,DFY.TO
Delta 9 Cannabis Inc-,DN,DN.TO
Denison Mines Corp-,DML,DML.TO
dentalcorp Holdings Ltd-,DNTL,DNTL.TO
Descartes Systems Group Inc- (The),DSG,DSG.TO
Dexterra Group Inc-,DXT,DXT.TO
DIRTT Environmental Solutions Ltd-,DRT,DRT.TO
Discovery Silver Corp-,DSV,DSV.TO
Diversified Royalty Corp-,DIV,DIV.TO
Dividend 15 Split Corp-,DFN,DFN.TO
Dividend 15 Split Corp- II,DF,DF.TO
Dividend Growth Split Corp-,DGS,DGS.TO
Dividend Select 15 Corp-,DS,DS.TO
Docebo Inc-,DCBO,DCBO.TO
Dollarama Inc-,DOL,DOL.TO
Doman Building Materials Group Ltd-,DBM,DBM.TO
Dominion Lending Centres Inc-,DLCG,DLCG.TO
Dorel Industries Inc-,DII-A,DII-B.TO
DREAM Unlimited Corp-,DRM,DRM.TO
Dundee Corporation,DC-A,DC-A.TO
Dundee Precious Metals Inc-,DPM,DPM.TO
Dye & Durham Limited,DND,DND.TO
dynaCERT Inc-,DYA,DYA.TO
Dynacor Group Inc-,DNG,DNG.TO
Medical Facilities Corporation,DR,DR.TO
Star Diamond Corporation,DIAM,DIAM.TO
Brompton Energy Split Corp-,ESP,ESP.TO
E Split Corp-,ENS,ENS.TO
E-L Financial Corporation Limited,ELF,ELF.TO
East Side Games Group Inc-,EAGR,EAGR.TO
Eastern Platinum Limited,ELR,ELR.TO
ECN Capital Corp-,ECN,ECN.TO
EcoSynthetix Inc-,ECO,ECO.TO
Eldorado Gold Corporation,ELD,ELD.TO
Electrovaya Inc-,ELVA,ELVA.TO
Element Fleet Management Corp-,EFN,EFN.TO
Eloro Resources Ltd-,ELO,ELO.TO
Else Nutrition Holdings Inc-,BABY,BABY.TO
Emera Incorporated,EMA,EMA.TO
Empire Company Limited,EMP-A,EMP-A.TO
Enbridge Inc-,ENB,ENB.TO
Endeavour Mining plc,EDV,EDV.TO
Endeavour Silver Corp-,EDR,EDR.TO
Enerflex Ltd-,EFX,EFX.TO
Energy Fuels Inc-,EFR,EFR.TO
Enerplus Corporation,ERF,ERF.TO
Enghouse Systems Limited,ENGH,ENGH.TO
Ensign Energy Services Inc-,ESI,ESI.TO
"Enterprise Group, Inc-",E,E.TO
Enthusiast Gaming Holdings Inc-,EGLX,EGLX.TO
Entree Resources Ltd-,ETG,ETG.TO
EQB Inc-,EQB,EQB.TO
Equinox Gold Corp-,EQX,EQX.TO
Erdene Resource Development Corporation,ERD,ERD.TO
Ero Copper Corp-,ERO,ERO.TO
Eupraxia Pharmaceuticals Inc-,EPRX,EPRX.TO
Euro Sun Mining Inc-,ESM,ESM.TO
Evertz Technologies Limited,ET,ET.TO
Excellon Resources Inc-,EXN,EXN.TO
Excelsior Mining Corp-,MIN,MIN.TO
Exchange Income Corporation,EIF,EIF.TO
Exco Technologies Limited,XTC,XTC.TO
Exro Technologies Inc-,EXRO,EXRO.TO
Extendicare Inc-,EXE,EXE.TO
Silver Elephant Mining Corp-,ELEF,ELEF.TO
Spectral Medical Inc-,EDT,EDT.TO
Fairfax Financial Holdings Limited,FFH,FFH.TO
Fairfax India Holdings Corporation,FIH-U,FIH-U.TO
FansUnite Entertainment Inc-,FANS,FANS.TO
Faraday Copper Corp-,FDY,FDY.TO
Farmers Edge Inc-,FDGE,FDGE.TO
FG Acquisition Corp-,FGAA-U,FGAA-U.TO
Fiera Capital Corporation,FSZ,FSZ.TO
Filo Corp,FIL,FIL.TO
Financial 15 Split Corp-,FTN,FTN.TO
Finning International Inc-,FTT,FTT.TO
Firan Technology Group Corporation,FTG,FTG.TO
Firm Capital Mortgage Investment Corporation,FC,FC.TO
First Majestic Silver Corp-,FR,FR.TO
First Mining Gold Corp-,FF,FF.TO
First National Financial Corporation,FN,FN.TO
First Quantum Minerals Ltd-,FM,FM.TO
FirstService Corporation,FSV,FSV.TO
Fission Uranium Corp-,FCU,FCU.TO
FLINT Corp-,FLNT,FLNT.TO
Flow Beverage Corp-,FLOW,FLOW.TO
Foraco International SA,FAR,FAR.TO
Foran Mining Corporation,FOM,FOM.TO
Forsys Metals Corp-,FSY,FSY.TO
Fortis Inc-,FTS,FTS.TO
Fortuna Silver Mines Inc-,FVI,FVI.TO
Fortune Minerals Limited,FT,FT.TO
Forza Petroleum Limited,FORZ,FORZ.TO
Franco-Nevada Corporation,FNV,FNV.TO
Freegold Ventures Limited,FVL,FVL.TO
Freehold Royalties Ltd-,FRU,FRU.TO
Frontera Energy Corporation,FEC,FEC.TO
Fury Gold Mines Limited,FURY,FURY.TO
Goodfood Market Corp-,FOOD,FOOD.TO
North American Financial 15 Split Corp-,FFN,FFN.TO
US Financial 15 Split Corp-,FTU,FTU.TO
VerticalScope Holdings Inc-,FORA,FORA.TO
Augusta Gold Corp-,G,G.TO
BMTC Group Inc-,GBT,GBT.TO
Canada Goose Holdings Inc-,GOOS,GOOS.TO
CGI Inc-,GIB-A,GIB-A.TO
Colabor Group Inc-,GCL,GCL.TO
Galaxy Digital Holdings Ltd-,GLXY,GLXY.TO
Galiano Gold Inc-,GAU,GAU.TO
Gamehost Inc-,GH,GH.TO
"Gatos Silver, Inc-",GATO,GATO.TO
GDI Integrated Facility Services Inc-,GDI,GDI.TO
Gear Energy Ltd-,GXE,GXE.TO
Generation Mining Limited,GENM,GENM.TO
Genesis Land Development Corp-,GDC,GDC.TO
Geodrill Limited,GEO,GEO.TO
George Weston Limited,WN,WN.TO
GFL Environmental Inc-,GFL,GFL.TO
Gibson Energy Inc-,GEI,GEI.TO
Gildan Activewear Inc-,GIL,GIL.TO
Givex Corp-,GIVX,GIVX.TO
Glacier Media Inc-,GVC,GVC.TO
GLG Life Tech Corporation,GLG,GLG.TO
Global Atomic Corporation,GLO,GLO.TO
Global Dividend Growth Split Corp-,GDV,GDV.TO
Global Education Communities Corp-,GEC,GEC.TO
Globex Mining Enterprises Inc-,GMX,GMX.TO
goeasy Ltd-,GSY,GSY.TO
GoGold Resources Inc-,GGD,GGD.TO
Gold Mountain Mining Corp-,GMTN,GMTN.TO
Gold Springs Resource Corp-,GRC,GRC.TO
Golden Minerals Company,AUMN,AUMN.TO
Goldgroup Mining Inc-,GGA,GGA.TO
GoldMining Inc-,GOLD,GOLD.TO
GoldMoney Inc-,XAU,XAU.TO
Goodfellow Inc-,GDL,GDL.TO
Goodfood Market Corp-,FOOD,FOOD.TO
Gran Tierra Energy Inc-,GTE,GTE.TO
Great-West Lifeco Inc-,GWO,GWO.TO
GreenFirst Forest Products Inc-,GFP,GFP.TO
Greenlane Renewables Inc-,GRN,GRN.TO
Guardian Capital Group Limited,GCG,GCG-A.TO
Guardian Directed Equity Path Portfolio,GDEP,GDEP.TO
Guardian Directed Premium Yield Portfolio,GDPY,GDPY.TO
GURU Organic Energy Corp-,GURU,GURU.TO
Knight Therapeutics Inc-,GUD,GUD.TO
NanoXplore Inc-,GRA,GRA.TO
Tantalus Systems Holding Inc-,GRID,GRID.TO
American Hotel Income Properties REIT LP,HOT-DB-V,HOT-UN.TO
Haivision Systems Inc-,HAI,HAI.TO
Hamilton Thorne Ltd-,HTL,HTL.TO
Hammond Manufacturing Company Limited,HMM-A,HMM-A.TO
Hammond Power Solutions Inc-,HPS-A,HPS-A.TO
Headwater Exploration Inc-,HWX,HWX.TO
HealWELL AI Inc-,AIDX,AIDX.TO
Helios Fairfax Partners Corporation,HFPC-U,HFPC-U.TO
Helix BioPharma Corp-,HBP,HBP.TO
Heroux-Devtek Inc-,HRX,HRX.TO
High Arctic Energy Services Inc-,HWO,HWO.TO
High Liner Foods Incorporated,HLF,HLF.TO
HLS Therapeutics Inc-,HLS,HLS.TO
Horizonte Minerals Plc-,HZM,HZM.TO
Hudbay Minerals Inc-,HBM,HBM.TO
Hut 8 Corp-,HUT,HUT.TO
Hydro One Limited,H,H.TO
Canlan Ice Sports Corp-,ICE,ICE.TO
i-80 Gold Corp-,IAU,IAU.TO
i3 Energy plc,ITE,ITE.TO
iA Financial Corporation Inc-,IAG,IAG.TO
IA Wealth Enhanced Bond Pool,IWEB,IWEB.TO
IAMGOLD Corporation,IMG,IMG.TO
iFabric Corp-,IFA,IFA.TO
IGM Financial Inc-,IGM,IGM.TO
